version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d,d4848549884e,baseline,Đo hành vi chưa tối ưu trước khi sửa,case_accuracy,,0.70,runs/v0_B_base_openrouter_20260915T185718036942.json
v1,team,version label only,v1+p27467914bc4d+td4848549884e,27467914bc4d,d4848549884e,Control run không đổi artifact,Đổi nhãn version không làm hành vi tốt hơn,case_accuracy,0.70,0.6667,runs/v1_B_base_openrouter_20260915T185904880231.json
v2,team,system_prompt.md,v2+pf0e470f20dd6+td4848549884e,f0e470f20dd6,d4848549884e,Khắc phục lỗi wrong_boundary và missing_info,Bổ sung quy tắc bắt buộc gọi clarify(response_type=yes_no) trước khi tạo ticket và vô hiệu hóa xác nhận cũ khi đổi payload sẽ loại bỏ lỗi wrong_boundary,case_accuracy,0.6667,0.80,runs/v2_B_base_openrouter_20260915T194928131642.json
v3,team,system_prompt.md + tools.yaml,v3+p69c30c7593f5+t9fb73a45b564,69c30c7593f5,9fb73a45b564,Củng cố routing argument và trust boundary,Quy tắc ID/default/category cùng description action/safety cụ thể sẽ giảm wrong_tool wrong_arg_value và wrong_boundary,case_accuracy,0.80,0.90,runs/v3_B_base_openrouter_20260915T202213944285.json
